log_text,label
session token expired unexpectedly on k8s-node-4,Authentication Failure
oauth token validation failed on k8s-node-4,Authentication Failure
authentication failed for admin user on k8s-node-4,Authentication Failure
session token expired unexpectedly on prod-server-1,Authentication Failure
session token expired unexpectedly on prod-server-2,Authentication Failure
session token expired unexpectedly on prod-server-1,Authentication Failure
unauthorized access attempt detected on k8s-node-4,Authentication Failure
authentication failed for admin user on payment-service,Authentication Failure
access denied due to invalid api key on api-gateway,Authentication Failure
access denied due to invalid api key on redis-cache,Authentication Failure
access denied due to invalid api key on kafka-broker,Authentication Failure
jwt token expired during authentication on kafka-broker,Authentication Failure
jwt token expired during authentication on prod-server-2,Authentication Failure
authentication failed for admin user on kafka-broker,Authentication Failure
jwt token expired during authentication on payment-service,Authentication Failure
authentication failed for admin user on k8s-node-4,Authentication Failure
access denied due to invalid api key on kafka-broker,Authentication Failure
authentication failed for admin user on kafka-broker,Authentication Failure
invalid login credentials for user on k8s-node-4,Authentication Failure
invalid login credentials for user on kafka-broker,Authentication Failure
session token expired unexpectedly on frontend-app,Authentication Failure
unauthorized access attempt detected on auth-service,Authentication Failure
invalid login credentials for user on kafka-broker,Authentication Failure
unauthorized access attempt detected on prod-server-1,Authentication Failure
failed password verification on db-cluster,Authentication Failure
authentication failed for admin user on redis-cache,Authentication Failure
access denied due to invalid api key on kafka-broker,Authentication Failure
authentication failed for admin user on prod-server-1,Authentication Failure
jwt token expired during authentication on prod-server-1,Authentication Failure
jwt token expired during authentication on payment-service,Authentication Failure
invalid login credentials for user on db-cluster,Authentication Failure
session token expired unexpectedly on k8s-node-4,Authentication Failure
invalid login credentials for user on prod-server-2,Authentication Failure
jwt token expired during authentication on frontend-app,Authentication Failure
failed password verification on kafka-broker,Authentication Failure
jwt token expired during authentication on redis-cache,Authentication Failure
invalid login credentials for user on db-cluster,Authentication Failure
session token expired unexpectedly on payment-service,Authentication Failure
oauth token validation failed on prod-server-2,Authentication Failure
failed password verification on api-gateway,Authentication Failure
unauthorized access attempt detected on auth-service,Authentication Failure
access denied due to invalid api key on redis-cache,Authentication Failure
unauthorized access attempt detected on k8s-node-4,Authentication Failure
access denied due to invalid api key on redis-cache,Authentication Failure
jwt token expired during authentication on prod-server-2,Authentication Failure
invalid login credentials for user on payment-service,Authentication Failure
invalid login credentials for user on frontend-app,Authentication Failure
invalid login credentials for user on frontend-app,Authentication Failure
unauthorized access attempt detected on payment-service,Authentication Failure
invalid login credentials for user on payment-service,Authentication Failure
unauthorized access attempt detected on k8s-node-4,Authentication Failure
failed password verification on redis-cache,Authentication Failure
jwt token expired during authentication on redis-cache,Authentication Failure
session token expired unexpectedly on auth-service,Authentication Failure
access denied due to invalid api key on payment-service,Authentication Failure
authentication failed for admin user on redis-cache,Authentication Failure
invalid login credentials for user on frontend-app,Authentication Failure
failed password verification on db-cluster,Authentication Failure
jwt token expired during authentication on prod-server-1,Authentication Failure
failed password verification on auth-service,Authentication Failure
unauthorized access attempt detected on redis-cache,Authentication Failure
invalid login credentials for user on db-cluster,Authentication Failure
jwt token expired during authentication on k8s-node-4,Authentication Failure
jwt token expired during authentication on db-cluster,Authentication Failure
access denied due to invalid api key on prod-server-2,Authentication Failure
failed password verification on payment-service,Authentication Failure
oauth token validation failed on prod-server-2,Authentication Failure
failed password verification on payment-service,Authentication Failure
