log_text,label
authentication failed for user user-service,Authentication Failure
token expired during login for prod-server-1,Authentication Failure
upstream api timeout detected in payment-service,API Timeout
unable to write log due to disk full prod-server-1,Disk Full
token expired during login for auth-service,Authentication Failure
api request timeout on endpoint auth-service,API Timeout
api request timeout on endpoint prod-server-1,API Timeout
request exceeded timeout limit for db-cluster,API Timeout
filesystem full on instance prod-server-1,Disk Full
invalid login credentials for prod-server-1,Authentication Failure
request exceeded timeout limit for payment-service,API Timeout
connection refused to postgres database gateway-api,Database Error
gateway timeout from service db-cluster,API Timeout
api request timeout on endpoint gateway-api,API Timeout
access denied for account db-cluster,Authentication Failure
api request timeout on endpoint db-cluster,API Timeout
db pool exhausted on service gateway-api,Database Error
token expired during login for payment-service,Authentication Failure
unable to write log due to disk full db-cluster,Disk Full
disk space exceeded on server user-service,Disk Full
api request timeout on endpoint db-cluster,API Timeout
access denied for account auth-service,Authentication Failure
upstream api timeout detected in db-cluster,API Timeout
database connection timeout on user-service,Database Error
access denied for account prod-server-1,Authentication Failure
access denied for account payment-service,Authentication Failure
gateway timeout from service payment-service,API Timeout
invalid login credentials for payment-service,Authentication Failure
upstream api timeout detected in prod-server-1,API Timeout
no storage left on device db-cluster,Disk Full
access denied for account auth-service,Authentication Failure
no storage left on device user-service,Disk Full
no storage left on device payment-service,Disk Full
database connection timeout on user-service,Database Error
disk space exceeded on server db-cluster,Disk Full
no storage left on device gateway-api,Disk Full
upstream api timeout detected in db-cluster,API Timeout
authentication failed for user db-cluster,Authentication Failure
disk space exceeded on server db-cluster,Disk Full
access denied for account db-cluster,Authentication Failure
invalid login credentials for payment-service,Authentication Failure
invalid login credentials for gateway-api,Authentication Failure
access denied for account db-cluster,Authentication Failure
invalid login credentials for gateway-api,Authentication Failure
unable to connect to mysql instance gateway-api,Database Error
database connection timeout on auth-service,Database Error
db pool exhausted on service gateway-api,Database Error
token expired during login for user-service,Authentication Failure
disk space exceeded on server prod-server-1,Disk Full
authentication failed for user gateway-api,Authentication Failure
disk space exceeded on server prod-server-1,Disk Full
access denied for account gateway-api,Authentication Failure
authentication failed for user auth-service,Authentication Failure
authentication failed for user auth-service,Authentication Failure
request exceeded timeout limit for payment-service,API Timeout
request exceeded timeout limit for gateway-api,API Timeout
invalid login credentials for auth-service,Authentication Failure
request exceeded timeout limit for auth-service,API Timeout
db pool exhausted on service user-service,Database Error
connection refused to postgres database gateway-api,Database Error
authentication failed for user payment-service,Authentication Failure
access denied for account gateway-api,Authentication Failure
api request timeout on endpoint gateway-api,API Timeout
database connection timeout on payment-service,Database Error
token expired during login for user-service,Authentication Failure
database connection timeout on auth-service,Database Error
unable to connect to mysql instance auth-service,Database Error
unable to connect to mysql instance auth-service,Database Error
authentication failed for user prod-server-1,Authentication Failure
authentication failed for user payment-service,Authentication Failure
token expired during login for gateway-api,Authentication Failure
db pool exhausted on service auth-service,Database Error
authentication failed for user payment-service,Authentication Failure
unable to connect to mysql instance prod-server-1,Database Error
authentication failed for user payment-service,Authentication Failure
disk space exceeded on server prod-server-1,Disk Full
invalid login credentials for prod-server-1,Authentication Failure
api request timeout on endpoint prod-server-1,API Timeout
gateway timeout from service auth-service,API Timeout
authentication failed for user db-cluster,Authentication Failure
authentication failed for user gateway-api,Authentication Failure
gateway timeout from service gateway-api,API Timeout
api request timeout on endpoint auth-service,API Timeout
unable to connect to mysql instance payment-service,Database Error
upstream api timeout detected in auth-service,API Timeout
unable to write log due to disk full prod-server-1,Disk Full
invalid login credentials for db-cluster,Authentication Failure
database connection timeout on db-cluster,Database Error
db pool exhausted on service gateway-api,Database Error
token expired during login for user-service,Authentication Failure
disk space exceeded on server user-service,Disk Full
api request timeout on endpoint payment-service,API Timeout
connection refused to postgres database payment-service,Database Error
token expired during login for prod-server-1,Authentication Failure
authentication failed for user auth-service,Authentication Failure
request exceeded timeout limit for prod-server-1,API Timeout
database connection timeout on db-cluster,Database Error
token expired during login for gateway-api,Authentication Failure
database connection timeout on user-service,Database Error
filesystem full on instance auth-service,Disk Full
unable to connect to mysql instance user-service,Database Error
unable to write log due to disk full db-cluster,Disk Full
access denied for account gateway-api,Authentication Failure
invalid login credentials for prod-server-1,Authentication Failure
api request timeout on endpoint gateway-api,API Timeout
disk space exceeded on server user-service,Disk Full
gateway timeout from service user-service,API Timeout
filesystem full on instance gateway-api,Disk Full
connection refused to postgres database prod-server-1,Database Error
upstream api timeout detected in prod-server-1,API Timeout
unable to connect to mysql instance db-cluster,Database Error
access denied for account prod-server-1,Authentication Failure
upstream api timeout detected in prod-server-1,API Timeout
no storage left on device user-service,Disk Full
unable to connect to mysql instance prod-server-1,Database Error
